# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.012592134    0.012592128    0.012592128
    0.120240481    0.025229786    0.025229774    0.025229775
    0.180360721    0.037958933    0.037958916    0.037958918
    0.240480962    0.050826480    0.050826457    0.050826459
    0.300601202    0.063880744    0.063880715    0.063880718
    0.360721443    0.077171973    0.077171938    0.077171942
    0.420841683    0.090752903    0.090752863    0.090752867
    0.480961924    0.104679370    0.104679324    0.104679329
    0.541082164    0.119010990    0.119010939    0.119010944
    0.601202405    0.133811925    0.133811868    0.133811873
    0.661322645    0.149151760    0.149151696    0.149151702
    0.721442886    0.165106508    0.165106438    0.165106445
    0.781563126    0.181759786    0.181759711    0.181759718
    0.841683367    0.199204194    0.199204113    0.199204121
    0.901803607    0.217542944    0.217542856    0.217542865
    0.961923848    0.236891807    0.236891714    0.236891723
    1.022044088    0.257381464    0.257381364    0.257381373
    1.082164329    0.279160339    0.279160233    0.279160243
    1.142284569    0.302398085    0.302397973    0.302397983
    1.202404810    0.327289864    0.327289746    0.327289757
    1.262525050    0.354061681    0.354061558    0.354061569
    1.322645291    0.382977076    0.382976946    0.382976958
    1.382765531    0.414345602    0.414345466    0.414345478
    1.442885772    0.448533691    0.448533549    0.448533561
    1.503006012    0.485978731    0.485978582    0.485978595
    1.563126253    0.527207529    0.527207374    0.527207387
    1.623246493    0.572860866    0.572860704    0.572860718
    1.683366733    0.623726640    0.623726472    0.623726486
    1.743486974    0.680785366    0.680785192    0.680785206
    1.803607214    0.745273793    0.745273613    0.745273626
    1.863727455    0.818775744    0.818775558    0.818775571
    1.923847695    0.903354950    0.903354758    0.903354771
    1.983967936    1.001754583    1.001754386    1.001754399
    2.044088176    1.117706491    1.117706289    1.117706300
    2.104208417    1.256428085    1.256427878    1.256427889
    2.164328657    1.425455435    1.425455225    1.425455235
    2.224448898    1.636112099    1.636111887    1.636111895
    2.284569138    1.906258237    1.906258026    1.906258031
    2.344689379    2.265807441    2.265807236    2.265807237
    2.404809619    2.768644277    2.768644086    2.768644082
    2.464929860    3.519371473    3.519371312    3.519371301
    2.525050100    4.720834799    4.720834693    4.720834671
    2.585170341    6.640487728    6.640487688    6.640487645
    2.645290581    9.444542357    9.444542441    9.444542389
    2.705410822   13.338289145   13.338289522   13.338289397
    2.765531062   17.272855516   17.272856055   17.272855595
    2.825651303   19.858098153   19.858098564   19.858097955
    2.885771543   21.369631587   21.369631737   21.369631261
    2.945891784   22.597560316   22.597560085   22.597560006
    3.006012024   24.081041129   24.081040775   24.081040823
    3.066132265   25.323286629   25.323286280   25.323286067
    3.126252505   25.754179058   25.754178679   25.754178216
    3.186372745   26.540722057   26.540721571   26.540721008
    3.246492986   27.857993958   27.857993323   27.857992494
    3.306613226   29.391789042   29.391788449   29.391787194
    3.366733467   31.113156941   31.113156576   31.113155076
    3.426853707   33.228091860   33.228091590   33.228090373
    3.486973948   36.565314364   36.565313810   36.565313271
    3.547094188   41.254491546   41.254490783   41.254490774
    3.607214429   46.830047567   46.830047018   46.830047285
    3.667334669   51.647837517   51.647837233   51.647837602
    3.727454910   54.699400481   54.699400624   54.699400909
    3.787575150   54.275777477   54.275778047   54.275778313
    3.847695391   49.330413277   49.330414020   49.330414351
    3.907815631   43.414560010   43.414560474   43.414561091
    3.967935872   38.184733269   38.184733597   38.184734347
    4.028056112   33.230967132   33.230967545   33.230968207
    4.088176353   30.685782231   30.685782411   30.685783088
    4.148296593   29.221373628   29.221373248   29.221374091
    4.208416834   27.210671906   27.210671069   27.210672056
    4.268537074   24.622255974   24.622255115   24.622255950
    4.328657315   22.737221747   22.737221179   22.737221649
    4.388777555   22.643291210   22.643290810   22.643290955
    4.448897796   23.648358725   23.648358049   23.648358074
    4.509018036   24.244368243   24.244367014   24.244367036
    4.569138277   23.078113907   23.078112331   23.078112387
    4.629258517   20.826678774   20.826677193   20.826677311
    4.689378758   18.799489967   18.799488733   18.799488676
    4.749498998   17.485677426   17.485676676   17.485676298
    4.809619238   16.854839930   16.854839452   16.854838897
    4.869739479   16.761879586   16.761879127   16.761878664
    4.929859719   16.404394117   16.404393534   16.404393293
    4.989979960   15.616698917   15.616698170   15.616697929
    5.050100200   14.416536141   14.416535392   14.416534898
    5.110220441   12.978420380   12.978419498   12.978418875
    5.170340681   12.067608206   12.067607010   12.067606516
