# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   15.628092137   15.628053149   15.628057608
    0.060120240   15.631863589   15.631824598   15.631829058
    0.120240481   15.643191487   15.643152491   15.643156952
    0.180360721   15.662116599   15.662077595   15.662082056
    0.240480962   15.688707326   15.688668310   15.688672772
    0.300601202   15.723060385   15.723021354   15.723025817
    0.360721443   15.765301802   15.765262751   15.765267217
    0.420841683   15.815588202   15.815549129   15.815553597
    0.480961924   15.874108461   15.874069362   15.874073833
    0.541082164   15.941085719   15.941046591   15.941051064
    0.601202405   16.016779829   16.016740668   16.016745144
    0.661322645   16.101490279   16.101451081   16.101455561
    0.721442886   16.195559664   16.195520426   16.195524910
    0.781563126   16.299377793   16.299338511   16.299342999
    0.841683367   16.413386536   16.413347208   16.413351701
    0.901803607   16.538085544   16.538046165   16.538050662
    0.961923848   16.674038994   16.673999560   16.674004063
    1.022044088   16.821883579   16.821844088   16.821848596
    1.082164329   16.982337983   16.982298430   16.982302944
    1.142284569   17.156214154   17.156174536   17.156179056
    1.202404810   17.344430799   17.344391113   17.344395638
    1.262525050   17.548029592   17.547989832   17.547994365
    1.322645291   17.768194775   17.768154940   17.768159479
    1.382765531   18.006277016   18.006237100   18.006241647
    1.442885772   18.263822639   18.263782639   18.263787193
    1.503006012   18.542609757   18.542569670   18.542574231
    1.563126253   18.844693308   18.844653130   18.844657699
    1.623246493   19.172461753   19.172421479   19.172426056
    1.683366733   19.528709216   19.528668843   19.528673428
    1.743486974   19.916728384   19.916687908   19.916692501
    1.803607214   20.340431682   20.340391100   20.340395701
    1.863727455   20.804511642   20.804470950   20.804475559
    1.923847695   21.314656486   21.314615680   21.314620297
    1.983967936   21.877844977   21.877804053   21.877808679
    2.044088176   22.502757189   22.502716145   22.502720778
    2.104208417   23.200357894   23.200316727   23.200321367
    2.164328657   23.984740527   23.984699234   23.984703880
    2.224448898   24.874364661   24.874323239   24.874327891
    2.284569138   25.893863423   25.893821873   25.893826529
    2.344689379   27.076517939   27.076476260   27.076480919
    2.404809619   28.466577249   28.466535443   28.466540101
    2.464929860   30.114824866   30.114782934   30.114787589
    2.525050100   32.032610838   32.032568774   32.032573419
    2.585170341   34.049401017   34.049358802   34.049363431
    2.645290581   35.861736157   35.861693825   35.861698433
    2.705410822   36.786335475   36.786292891   36.786297355
    2.765531062   35.858392585   35.858349442   35.858353936
    2.825651303   33.931443174   33.931399489   33.931404315
    2.885771543   32.310936801   32.310892681   32.310897843
    2.945891784   31.212036123   31.211991807   31.211997010
    3.006012024   30.278828992   30.278784675   30.278789524
    3.066132265   28.837750952   28.837706474   28.837711113
    3.126252505   27.867033682   27.866988986   27.866993698
    3.186372745   27.718997531   27.718952583   27.718957355
    3.246492986   27.571039473   27.570994426   27.570999181
    3.306613226   27.374797374   27.374752304   27.374757322
    3.366733467   27.163873326   27.163828072   27.163833737
    3.426853707   27.358552085   27.358506337   27.358512753
    3.486973948   27.453612014   27.453565875   27.453572626
    3.547094188   26.647735713   26.647689643   26.647696262
    3.607214429   23.556223097   23.556177044   23.556183449
    3.667334669   17.935406069   17.935359869   17.935366022
    3.727454910   10.069865849   10.069819364   10.069825415
    3.787575150    0.655571673    0.655524607    0.655530704
    3.847695391   -7.115500683   -7.115548644   -7.115542415
    3.907815631  -10.838979792  -10.839028473  -10.839022231
    3.967935872  -12.896493157  -12.896542225  -12.896536224
    4.028056112  -12.807587367  -12.807637019  -12.807631133
    4.088176353  -11.649354596  -11.649405088  -11.649399153
    4.148296593  -11.683913392  -11.683964409  -11.683958516
    4.208416834  -12.219355445  -12.219406588  -12.219400949
    4.268537074  -12.032989399  -12.033040520  -12.033035248
    4.328657315  -10.493229343  -10.493280777  -10.493275631
    4.388777555   -8.915554704   -8.915606877   -8.915601604
    4.448897796   -8.689394154   -8.689447138   -8.689441634
    4.509018036  -10.245923439  -10.245976890  -10.245971239
    4.569138277  -12.290181846  -12.290235347  -12.290229592
    4.629258517  -13.239000592  -13.239054102  -13.239048397
    4.689378758  -12.965099036  -12.965152669  -12.965147089
    4.749498998  -12.271208682  -12.271262866  -12.271257174
    4.809619238  -11.526658110  -11.526713146  -11.526707112
    4.869739479  -11.327890933  -11.327946862  -11.327940482
    4.929859719  -11.748975787  -11.749032549  -11.749026077
    4.989979960  -12.238714973  -12.238772412  -12.238766059
    5.050100200  -12.581216548  -12.581274709  -12.581268277
    5.110220441  -12.288447320  -12.288506376  -12.288499598
    5.170340681  -11.438385378  -11.438445219  -11.438438078
    5.230460922  -10.660442871  -10.660503307  -10.660496028
    5.290581162  -10.270818405  -10.270879439  -10.270872245
    5.350701403  -10.549299514  -10.549361218  -10.549354053
    5.410821643  -11.174000937  -11.174063302  -11.174056022
    5.470941884  -11.414698072  -11.414761194  -11.414753661
    5.531062124  -11.051314021  -11.051378022  -11.051370259
    5.591182365  -10.442867465  -10.442932601  -10.442924748
    5.651302605   -9.917342450   -9.917408827   -9.917400860
    5.711422846   -9.600736363   -9.600803888   -9.600795826
    5.771543086   -9.377705090   -9.377773741   -9.377765788
    5.831663327   -9.294797097   -9.294866891   -9.294858903
    5.891783567   -9.564963830   -9.565034802   -9.565026365
    5.951903808   -9.657844172   -9.657915947   -9.657907214
    6.012024048   -9.374331442   -9.374403693   -9.374395079
    6.072144289   -8.989954820   -8.990028007   -8.990019465
    6.132264529   -8.727964305   -8.728038905   -8.728030257
    6.192384770   -8.495333874   -8.495410002   -8.495401249
    6.252505010   -8.224178162   -8.224256085   -8.224247030
    6.312625251   -8.065460492   -8.065540269   -8.065530762
    6.372745491   -8.091667448   -8.091748866   -8.091738963
    6.432865731   -8.016348457   -8.016431534   -8.016421363
    6.492985972   -7.762402964   -7.762488076   -7.762477591
    6.553106212   -7.501331521   -7.501418584   -7.501407796
    6.613226453   -7.415808673   -7.415897816   -7.415886801
    6.673346693   -7.314440824   -7.314532562   -7.314521242
    6.733466934   -7.071375046   -7.071469459   -7.071457800
    6.793587174   -6.814188373   -6.814285282   -6.814273270
    6.853707415   -6.703364786   -6.703464170   -6.703451852
    6.913827655   -6.647003538   -6.647105588   -6.647093156
    6.973947896   -6.542872961   -6.542977917   -6.542965414
    7.034068136   -6.421383193   -6.421491280   -6.421478599
    7.094188377   -6.302216040   -6.302327451   -6.302314642
    7.154308617   -6.192182354   -6.192297460   -6.192284386
    7.214428858   -6.058907163   -6.059026563   -6.059012923
    7.274549098   -5.892826276   -5.892950376   -5.892936013
    7.334669339   -5.754232424   -5.754361512   -5.754346339
    7.394789579   -5.691180581   -5.691315120   -5.691299157
    7.454909820   -5.626981405   -5.627121961   -5.627105261
    7.515030060   -5.514908135   -5.515055264   -5.515037864
    7.575150301   -5.402344477   -5.402498989   -5.402480755
    7.635270541   -5.283223809   -5.283386632   -5.283367349
    7.695390782   -5.157602111   -5.157774233   -5.157753789
    7.755511022   -5.051627403   -5.051809948   -5.051788367
    7.815631263   -4.970026047   -4.970220521   -4.970197539
    7.875751503   -4.936237496   -4.936445785   -4.936421129
    7.935871743   -4.897393795   -4.897618161   -4.897591646
    7.995991984   -4.797823797   -4.798067037   -4.798038375
    8.056112224   -4.625201591   -4.625467185   -4.625435867
    8.116232465   -4.441279052   -4.441571645   -4.441537104
    8.176352705   -4.326625808   -4.326951675   -4.326913231
    8.236472946   -4.266674099   -4.267041837   -4.266998485
    8.296593186   -4.249891608   -4.250312938   -4.250263298
    8.356713427   -4.251920715   -4.252411765   -4.252353962
    8.416833667   -4.208117556   -4.208699279   -4.208630826
    8.476953908   -4.107072996   -4.107762483   -4.107681352
    8.537074148   -3.984979046   -3.985728514   -3.985640319
    8.597194389   -3.835308411   -3.835761288   -3.835707990
    8.657314629   -3.708272191   -3.707917605   -3.707959267
    8.717434870   -3.653593728   -3.652884655   -3.652967910
    8.777555110   -3.645373867   -3.644710386   -3.644788232
    8.837675351   -3.639043601   -3.638487985   -3.638553201
    8.897795591   -3.599731678   -3.599268798   -3.599323177
    8.957915832   -3.511196187   -3.510804908   -3.510850880
    9.018036072   -3.405360476   -3.405024174   -3.405063697
    9.078156313   -3.297107730   -3.296814321   -3.296848804
