# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   15.623666598   15.623627619   15.623632077
    0.060120240   15.611279129   15.611240155   15.611244613
    0.120240481   15.587500208   15.587461245   15.587465702
    0.180360721   15.556280170   15.556241221   15.556245677
    0.240480962   15.517776325   15.517737394   15.517741848
    0.300601202   15.472124112   15.472085202   15.472089654
    0.360721443   15.419481987   15.419443102   15.419447551
    0.420841683   15.360030105   15.359991248   15.359995695
    0.480961924   15.293968666   15.293929840   15.293934283
    0.541082164   15.221516116   15.221477325   15.221481765
    0.601202405   15.142907256   15.142868503   15.142872940
    0.661322645   15.058391264   15.058352553   15.058356985
    0.721442886   14.968229682   14.968191015   14.968195443
    0.781563126   14.872694384   14.872655766   14.872660189
    0.841683367   14.772065567   14.772026999   14.772031417
    0.901803607   14.666629764   14.666591251   14.666595663
    0.961923848   14.556677940   14.556639484   14.556643891
    1.022044088   14.442503650   14.442465255   14.442469656
    1.082164329   14.324401309   14.324362979   14.324367373
    1.142284569   14.202664565   14.202626301   14.202630689
    1.202404810   14.077584795   14.077546602   14.077550982
    1.262525050   13.949449733   13.949411614   13.949415986
    1.322645291   13.818542227   13.818504184   13.818508549
    1.382765531   13.685139132   13.685101168   13.685105525
    1.442885772   13.549510336   13.549472455   13.549476803
    1.503006012   13.411917923   13.411880128   13.411884467
    1.563126253   13.272615458   13.272577751   13.272582081
    1.623246493   13.131847398   13.131809781   13.131814101
    1.683366733   12.989848614   12.989811091   12.989815402
    1.743486974   12.846844033   12.846806607   12.846810907
    1.803607214   12.703048365   12.703011038   12.703015328
    1.863727455   12.558665937   12.558628712   12.558632991
    1.923847695   12.413890599   12.413853479   12.413857747
    1.983967936   12.268905716   12.268868703   12.268872960
    2.044088176   12.123884219   12.123847315   12.123851560
    2.104208417   11.978988720   11.978951928   11.978956161
    2.164328657   11.834371677   11.834335000   11.834339221
    2.224448898   11.690175605   11.690139045   11.690143253
    2.284569138   11.546533322   11.546496880   11.546501075
    2.344689379   11.403568225   11.403531904   11.403536087
    2.404809619   11.261394599   11.261358402   11.261362571
    2.464929860   11.120117939   11.120081868   11.120086023
    2.525050100   10.979835286   10.979799343   10.979803484
    2.585170341   10.840635582   10.840599767   10.840603895
    2.645290581   10.702600021   10.702564338   10.702568451
    2.705410822   10.565802417   10.565766869   10.565770967
    2.765531062   10.430309563   10.430274149   10.430278233
    2.825651303   10.296181586   10.296146310   10.296150379
    2.885771543   10.163472312   10.163437175   10.163441228
    2.945891784   10.032229606   10.032194609   10.032198647
    3.006012024    9.902495721    9.902460867    9.902464889
    3.066132265    9.774307630    9.774272920    9.774276926
    3.126252505    9.647697349    9.647662784    9.647666774
    3.186372745    9.522692248    9.522657830    9.522661804
    3.246492986    9.399315357    9.399281087    9.399285044
    3.306613226    9.277585650    9.277551530    9.277555471
    3.366733467    9.157518330    9.157484361    9.157488285
    3.426853707    9.039125087    9.039091271    9.039095178
    3.486973948    8.922414358    8.922380695    8.922384585
    3.547094188    8.807391561    8.807358053    8.807361925
    3.607214429    8.694059331    8.694025978    8.694029833
    3.667334669    8.582417730    8.582384533    8.582388371
    3.727454910    8.472464456    8.472431417    8.472435238
    3.787575150    8.364195038    8.364162158    8.364165960
    3.847695391    8.257603015    8.257570294    8.257574078
    3.907815631    8.152680108    8.152647548    8.152651314
    3.967935872    8.049416386    8.049383987    8.049387735
    4.028056112    7.947800413    7.947768176    7.947771906
    4.088176353    7.847819393    7.847787318    7.847791029
    4.148296593    7.749459299    7.749427387    7.749431081
    4.208416834    7.652705004    7.652673256    7.652676931
    4.268537074    7.557540391    7.557508808    7.557512464
    4.328657315    7.463948465    7.463917046    7.463920684
    4.388777555    7.371911451    7.371880198    7.371883817
    4.448897796    7.281410890    7.281379803    7.281383403
    4.509018036    7.192427725    7.192396804    7.192400385
    4.569138277    7.104942382    7.104911626    7.104915189
    4.629258517    7.018934843    7.018904254    7.018907798
    4.689378758    6.934384719    6.934354297    6.934357822
    4.749498998    6.851271310    6.851241056    6.851244562
    4.809619238    6.769573668    6.769543581    6.769547068
    4.869739479    6.689270647    6.689240728    6.689244195
    4.929859719    6.610340956    6.610311204    6.610314652
    4.989979960    6.532763203    6.532733618    6.532737048
    5.050100200    6.456515938    6.456486521    6.456489932
    5.110220441    6.381577693    6.381548444    6.381551835
    5.170340681    6.307927015    6.307897934    6.307901306
    5.230460922    6.235542499    6.235513585    6.235516938
    5.290581162    6.164402816    6.164374069    6.164377403
    5.350701403    6.094486741    6.094458162    6.094461477
    5.410821643    6.025773177    6.025744765    6.025748061
    5.470941884    5.958241177    5.958212932    5.958216209
    5.531062124    5.891869961    5.891841882    5.891845140
    5.591182365    5.826638935    5.826611023    5.826614262
    5.651302605    5.762527708    5.762499963    5.762503182
    5.711422846    5.699516105    5.699488526    5.699491726
    5.771543086    5.637584178    5.637556764    5.637559945
    5.831663327    5.576712218    5.576684969    5.576688131
    5.891783567    5.516880763    5.516853679    5.516856823
    5.951903808    5.458070610    5.458043691    5.458046816
    6.012024048    5.400262819    5.400236063    5.400239169
    6.072144289    5.343438716    5.343412124    5.343415212
    6.132264529    5.287579907    5.287553478    5.287556546
    6.192384770    5.232668271    5.232642004    5.232645054
    6.252505010    5.178685972    5.178659868    5.178662899
    6.312625251    5.125615458    5.125589515    5.125592527
    6.372745491    5.073439461    5.073413679    5.073416673
    6.432865731    5.022141002    5.022115381    5.022118356
    6.492985972    4.971703389    4.971677928    4.971680885
    6.553106212    4.922110219    4.922084916    4.922087855
    6.613226453    4.873345372    4.873320229    4.873323150
    6.673346693    4.825393020    4.825368035    4.825370938
    6.733466934    4.778237617    4.778212789    4.778215673
    6.793587174    4.731863900    4.731839228    4.731842095
    6.853707415    4.686256888    4.686232373    4.686235221
    6.913827655    4.641401881    4.641377521    4.641380351
    6.973947896    4.597284452    4.597260247    4.597263060
    7.034068136    4.553890452    4.553866401    4.553869196
    7.094188377    4.511206001    4.511182103    4.511184880
    7.154308617    4.469217486    4.469193740    4.469196500
    7.214428858    4.427911560    4.427887966    4.427890708
    7.274549098    4.387275136    4.387251694    4.387254419
    7.334669339    4.347295387    4.347272095    4.347274803
    7.394789579    4.307959738    4.307936595    4.307939285
    7.454909820    4.269255863    4.269232869    4.269235542
    7.515030060    4.231171685    4.231148839    4.231151495
    7.575150301    4.193695369    4.193672669    4.193675309
    7.635270541    4.156815317    4.156792764    4.156795386
    7.695390782    4.120520167    4.120497759    4.120500365
    7.755511022    4.084798787    4.084776525    4.084779114
    7.815631263    4.049640274    4.049618155    4.049620727
    7.875751503    4.015033943    4.015011968    4.015014524
    7.935871743    3.980969333    3.980947500    3.980950039
    7.995991984    3.947436194    3.947414503    3.947417026
    8.056112224    3.914424488    3.914402937    3.914405444
    8.116232465    3.881924384    3.881902973    3.881905464
    8.176352705    3.849926253    3.849904981    3.849907455
    8.236472946    3.818420665    3.818399531    3.818401990
    8.296593186    3.787398386    3.787377389    3.787379832
    8.356713427    3.756850372    3.756829512    3.756831939
    8.416833667    3.726767767    3.726747042    3.726749453
    8.476953908    3.697141898    3.697121308    3.697123704
    8.537074148    3.667964273    3.667943817    3.667946197
    8.597194389    3.639226574    3.639206251    3.639208616
    8.657314629    3.610920659    3.610900468    3.610902818
    8.717434870    3.583038552    3.583018493    3.583020827
    8.777555110    3.555572443    3.555552515    3.555554834
    8.837675351    3.528514686    3.528494887    3.528497191
    8.897795591    3.501857791    3.501838121    3.501840410
    8.957915832    3.475594426    3.475574883    3.475577158
    9.018036072    3.449717407    3.449697992    3.449700252
    9.078156313    3.424219704    3.424200415    3.424202660
    9.138276553    3.399094427    3.399075264    3.399077494
    9.198396794    3.374334834    3.374315795    3.374318011
    9.258517034    3.349934317    3.349915402    3.349917604
