# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   15.627850645   15.627818583   15.627855183
    0.060120240   15.631621978   15.631589915   15.631626517
    0.120240481   15.642949522   15.642917455   15.642954062
    0.180360721   15.661874043   15.661841968   15.661878583
    0.240480962   15.688463936   15.688431851   15.688468478
    0.300601202   15.722815916   15.722783818   15.722820460
    0.360721443   15.765056001   15.765023887   15.765060548
    0.420841683   15.815340810   15.815308678   15.815345361
    0.480961924   15.873859210   15.873827056   15.873863763
    0.541082164   15.940834329   15.940802151   15.940838886
    0.601202405   16.016526008   16.016493802   16.016530570
    0.661322645   16.101233719   16.101201483   16.101238286
    0.721442886   16.195300041   16.195267772   16.195304613
    0.781563126   16.299114763   16.299082458   16.299119342
    0.841683367   16.413119733   16.413087389   16.413124318
    0.901803607   16.537814573   16.537782187   16.537819165
    0.961923848   16.673763432   16.673731000   16.673768031
    1.022044088   16.821602969   16.821570489   16.821607576
    1.082164329   16.982051825   16.982019294   16.982056441
    1.142284569   17.155921906   17.155889320   17.155926531
    1.202404810   17.344131862   17.344099218   17.344136497
    1.262525050   17.547723307   17.547690602   17.547727951
    1.322645291   17.767880410   17.767847641   17.767885066
    1.382765531   18.005953754   18.005920917   18.005958421
    1.442885772   18.263489562   18.263456655   18.263494241
    1.503006012   18.542265830   18.542232848   18.542270521
    1.563126253   18.844337351   18.844304292   18.844342056
    1.623246493   19.172092415   19.172059275   19.172097134
    1.683366733   19.528324936   19.528291711   19.528329670
    1.743486974   19.916327343   19.916294030   19.916332093
    1.803607214   20.340011740   20.339978335   20.340016506
    1.863727455   20.804070254   20.804036752   20.804075037
    1.923847695   21.314190587   21.314156985   21.314195388
    1.983967936   21.877350828   21.877317122   21.877355648
    2.044088176   22.502230159   22.502196343   22.502234999
    2.104208417   23.199792144   23.199758215   23.199797005
    2.164328657   23.984128558   23.984094509   23.984133441
    2.224448898   24.873696644   24.873662470   24.873701550
    2.284569138   25.893126257   25.893091950   25.893131187
    2.344689379   27.075694117   27.075659671   27.075699073
    2.404809619   28.465644820   28.465610225   28.465649804
    2.464929860   30.113766526   30.113731787   30.113771545
    2.525050100   32.031466739   32.031431925   32.031471825
    2.585170341   34.048334442   34.048299714   34.048339661
    2.645290581   35.860845145   35.860810243   35.860850425
