# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   15.623425214   15.623393160   15.623429751
    0.060120240   15.611038132   15.611006082   15.611042669
    0.120240481   15.587259953   15.587227913   15.587264489
    0.180360721   15.556040887   15.556008858   15.556045420
    0.240480962   15.517538238   15.517506224   15.517542769
    0.300601202   15.471887437   15.471855441   15.471891966
    0.360721443   15.419246934   15.419214959   15.419251459
    0.420841683   15.359796877   15.359764924   15.359801398
    0.480961924   15.293737453   15.293705527   15.293741970
    0.541082164   15.221287103   15.221255205   15.221291615
    0.601202405   15.142680614   15.142648747   15.142685121
    0.661322645   15.058167154   15.058135322   15.058171656
    0.721442886   14.968008253   14.967976458   14.968012749
    0.781563126   14.872475776   14.872444020   14.872480265
    0.841683367   14.771849904   14.771818191   14.771854387
    0.901803607   14.666417162   14.666385494   14.666421638
    0.961923848   14.556468501   14.556436881   14.556472970
    1.022044088   14.442297466   14.442265896   14.442301926
    1.082164329   14.324198459   14.324166942   14.324202911
    1.142284569   14.202465117   14.202433656   14.202469560
    1.202404810   14.077388807   14.077357404   14.077393241
    1.262525050   13.949257252   13.949225910   13.949261677
    1.322645291   13.818353290   13.818322010   13.818357704
    1.382765531   13.684953765   13.684922551   13.684958170
    1.442885772   13.549328559   13.549297412   13.549332952
    1.503006012   13.411739744   13.411708668   13.411744127
    1.563126253   13.272440880   13.272409876   13.272445251
    1.623246493   13.131676413   13.131645484   13.131680773
    1.683366733   12.989681211   12.989650360   12.989685559
    1.743486974   12.846680192   12.846649420   12.846684528
    1.803607214   12.702888062   12.702857371   12.702892385
    1.863727455   12.558509140   12.558478533   12.558513450
    1.923847695   12.413737274   12.413706753   12.413741571
    1.983967936   12.268755822   12.268725389   12.268760106
    2.044088176   12.123737713   12.123707370   12.123741983
    2.104208417   11.978845555   11.978815304   11.978849811
    2.164328657   11.834231803   11.834201646   11.834236044
    2.224448898   11.690038969   11.690008908   11.690043196
    2.284569138   11.546399868   11.546369905   11.546404080
    2.344689379   11.403437897   11.403408033   11.403442094
    2.404809619   11.261267339   11.261237577   11.261271521
    2.464929860   11.119993687   11.119964027   11.119997853
    2.525050100   10.979713980   10.979684425   10.979718131
    2.585170341   10.840517160   10.840487712   10.840521294
    2.645290581   10.702484422   10.702455082   10.702488540
    2.705410822   10.565689578   10.565660348   10.565693680
    2.765531062   10.430199421   10.430170302   10.430203506
    2.825651303   10.296074079   10.296045072   10.296078148
    2.885771543   10.163367377   10.163338484   10.163371428
    2.945891784   10.032127181   10.032098403   10.032131215
    3.006012024    9.902395745    9.902367084    9.902399762
    3.066132265    9.774210042    9.774181499    9.774214042
    3.126252505    9.647602088    9.647573665    9.647606070
    3.186372745    9.522599256    9.522570952    9.522603220
    3.246492986    9.399224573    9.399196392    9.399228520
    3.306613226    9.277497019    9.277468960    9.277500947
    3.366733467    9.157431794    9.157403858    9.157435704
    3.426853707    9.039040591    9.039012780    9.039044482
    3.486973948    8.922331846    8.922304161    8.922335719
    3.547094188    8.807310981    8.807283423    8.807314836
    3.607214429    8.693980630    8.693953199    8.693984466
    3.667334669    8.582340856    8.582313554    8.582344674
    3.727454910    8.472389361    8.472362188    8.472393159
    3.787575150    8.364121672    8.364094629    8.364125452
    3.847695391    8.257531330    8.257504418    8.257535091
    3.907815631    8.152610059    8.152583278    8.152613800
    3.967935872    8.049347927    8.049321278    8.049351649
    4.028056112    7.947733499    7.947706983    7.947737202
    4.088176353    7.847753981    7.847727599    7.847757665
    4.148296593    7.749395349    7.749369100    7.749399013
    4.208416834    7.652642474    7.652616359    7.652646119
    4.268537074    7.557479242    7.557453262    7.557482867
    4.328657315    7.463888658    7.463862814    7.463892264
    4.388777555    7.371852949    7.371827240    7.371856535
    4.448897796    7.281353657    7.281328084    7.281357224
