# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.015247047    0.015247040    0.015247078
    0.120240481    0.030555230    0.030555216    0.030555293
    0.180360721    0.045986373    0.045986351    0.045986467
    0.240480962    0.061603688    0.061603659    0.061603814
    0.300601202    0.077472511    0.077472474    0.077472670
    0.360721443    0.093661084    0.093661041    0.093661277
    0.420841683    0.110241412    0.110241363    0.110241640
    0.480961924    0.127290203    0.127290147    0.127290468
    0.541082164    0.144889932    0.144889870    0.144890235
    0.601202405    0.163130050    0.163129983    0.163130394
    0.661322645    0.182108385    0.182108314    0.182108772
    0.721442886    0.201932774    0.201932698    0.201933207
    0.781563126    0.222722985    0.222722907    0.222723467
    0.841683367    0.244613016    0.244612936    0.244613551
    0.901803607    0.267753845    0.267753765    0.267754438
    0.961923848    0.292316774    0.292316695    0.292317430
    1.022044088    0.318497510    0.318497435    0.318498235
    1.082164329    0.346521202    0.346521133    0.346522004
    1.142284569    0.376648707    0.376648650    0.376649595
    1.202404810    0.409184463    0.409184420    0.409185446
    1.262525050    0.444486461    0.444486440    0.444487554
    1.322645291    0.482979041    0.482979048    0.482980257
    1.382765531    0.525169445    0.525169489    0.525170802
    1.442885772    0.571669534    0.571669628    0.571671056
    1.503006012    0.623224610    0.623224771    0.623226325
    1.563126253    0.680752225    0.680752474    0.680754167
    1.623246493    0.745395223    0.745395587    0.745397437
    1.683366733    0.818595464    0.818595981    0.818598009
    1.743486974    0.902198195    0.902198918    0.902201147
    1.803607214    0.998602823    0.998603823    0.998606282
    1.863727455    1.110985702    1.110987081    1.110989807
    1.923847695    1.243637743    1.243639646    1.243642687
    1.983967936    1.402490704    1.402493347    1.402496762
    2.044088176    1.595964253    1.595967961    1.595971830
    2.104208417    1.836379729    1.836385007    1.836389437
    2.164328657    2.142419672    2.142427341    2.142432481
    2.224448898    2.543615588    2.543627029    2.543633090
    2.284569138    3.088998854    3.089016514    3.089023815
    2.344689379    3.864862583    3.864891065    3.864900102
    2.404809619    5.033904532    5.033953114    5.033964703
    2.464929860    6.927975342    6.928064203    6.928079773
    2.525050100   10.277891901   10.278067602   10.278089862
    2.585170341   16.705644883   16.706005372   16.706040159
    2.645290581   28.356218854   28.356777011   28.356840548
    2.705410822   38.716203324   38.716203918   38.716328370
    2.765531062   33.586551085   33.585759121   33.585877239
    2.825651303   21.731302026   21.730649029   21.730710573
    2.885771543   14.665618102   14.665280738   14.665312708
    2.945891784   11.753993979   11.753822228   11.753837341
    3.006012024   11.173721869   11.173630626   11.173631374
    3.066132265   12.302913531   12.302864029   12.302845319
    3.126252505   15.428262804   15.428233604   15.428178978
