# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.000000000   17.327297427   17.327287550   17.327323454
    0.060120240   17.331862227   17.331852348   17.331888264
    0.120240481   17.345574799   17.345564913   17.345600863
    0.180360721   17.368489853   17.368479956   17.368515964
    0.240480962   17.400699253   17.400689341   17.400725430
    0.300601202   17.442333046   17.442323114   17.442359308
    0.360721443   17.493560937   17.493550981   17.493587304
    0.420841683   17.554594247   17.554584262   17.554620739
    0.480961924   17.625688392   17.625678375   17.625715031
    0.541082164   17.707145953   17.707135900   17.707172761
    0.601202405   17.799320403   17.799310311   17.799347404
    0.661322645   17.902620596   17.902610462   17.902647815
    0.721442886   18.017516132   18.017505954   18.017543596
    0.781563126   18.144543756   18.144533530   18.144571493
    0.841683367   18.284314966   18.284304692   18.284343006
    0.901803607   18.437525085   18.437514761   18.437553460
    0.961923848   18.604964065   18.604953692   18.604992812
    1.022044088   18.787529427   18.787519006   18.787558586
    1.082164329   18.986241785   18.986231319   18.986271398
    1.142284569   19.202263571   19.202253065   19.202293687
    1.202404810   19.436921749   19.436911209   19.436952420
    1.262525050   19.691735525   19.691724962   19.691766812
    1.322645291   19.968450399   19.968439827   19.968482370
    1.382765531   20.269080331   20.269069767   20.269113063
    1.442885772   20.595960399   20.595949868   20.595993981
    1.503006012   20.951813185   20.951802720   20.951847720
    1.563126253   21.339833338   21.339822981   21.339868948
    1.623246493   21.763796497   21.763786304   21.763833325
    1.683366733   22.228201359   22.228191404   22.228239577
    1.743486974   22.738457466   22.738447847   22.738497283
    1.803607214   23.301137134   23.301127980   23.301178805
    1.863727455   23.924318869   23.924310356   23.924362715
    1.923847695   24.618063721   24.618056085   24.618110145
    1.983967936   25.395088455   25.395082021   25.395137980
    2.044088176   26.271735799   26.271731021   26.271789113
    2.104208417   27.269401181   27.269398701   27.269459211
    2.164328657   28.416670635   28.416671376   28.416734653
    2.224448898   29.752568749   29.752574062   29.752640545
    2.284569138   31.331487160   31.331499044   31.331569296
    2.344689379   33.230323433   33.230344831   33.230419594
    2.404809619   35.556715462   35.556750454   35.556830731
    2.464929860   38.446500733   38.446553359   38.446640535
    2.525050100   41.977042673   41.977107078   41.977203104
    2.585170341   45.584045331   45.584047909   45.584155501
    2.645290581   45.352089194   45.351684570   45.351805075
    2.705410822   33.022171456   33.021178450   33.021275722
    2.765531062   17.673089369   17.672546487   17.672556662
    2.825651303   14.567430571   14.567548726   14.567540711
    2.885771543   18.704575008   18.704833529   18.704834885
    2.945891784   24.129908439   24.130147495   24.130157885
    3.006012024   29.704687249   29.704893444   29.704909587
    3.066132265   35.576201056   35.576386736   35.576406006
    3.126252505   42.027332415   42.027519808   42.027545918
    3.186372745   48.748750383   48.749000092   48.749071686
    3.246492986   53.037741693   53.038161339   53.038378211
    3.306613226   54.068931732   54.069156582   54.069312824
    3.366733467   56.319813616   56.319460439   56.319568421
    3.426853707   46.990554222   46.989626173   46.990230530
    3.486973948   19.451622657   19.451052248   19.451799808
    3.547094188   -8.209710004   -8.209753920   -8.209472164
    3.607214429  -15.433912381  -15.433907901  -15.433932466
    3.667334669  -20.616593109  -20.616620363  -20.616380592
    3.727454910  -39.162691533  -39.162736766  -39.162562858
    3.787575150  -44.589939970  -44.589870886  -44.590144743
    3.847695391  -38.163282890  -38.163191040  -38.163548414
    3.907815631  -30.538621431  -30.538541779  -30.538850132
    3.967935872  -24.679271605  -24.679186258  -24.679438534
    4.028056112  -20.624505082  -20.624434402  -20.624660336
    4.088176353  -16.678376225  -16.678322571  -16.678531814
    4.148296593  -12.648370784  -12.648329115  -12.648513475
    4.208416834   -8.808413653   -8.808387405   -8.808546237
    4.268537074   -5.250953209   -5.250942875   -5.251076532
    4.328657315   -1.921426244   -1.921417697   -1.921522887
    4.388777555    0.924852751    0.924905233    0.924846444
    4.448897796    1.059398152    1.059543802    1.059533088
    4.509018036   -2.059130139   -2.059077432   -2.059177695
    4.569138277   -5.811045879   -5.811045872   -5.811182220
    4.629258517   -5.902097737   -5.902096133   -5.902221722
    4.689378758   -3.427354213   -3.427378339   -3.427517558
    4.749498998   -2.956389403   -2.956499126   -2.956727787
    4.809619238   -5.819484132   -5.819522015   -5.819792306
    4.869739479   -6.316106007   -6.316019970   -6.316231509
    4.929859719   -7.182586820   -7.182444262   -7.182593325
    4.989979960   -7.343306562   -7.343187647   -7.343307276
    5.050100200   -6.330433388   -6.330370867   -6.330488642
    5.110220441   -4.380704617   -4.380619582   -4.380701699
    5.170340681   -1.017225965   -1.017125522   -1.017191970
    5.230460922    2.428460863    2.428566193    2.428484385
    5.290581162    3.042043945    3.042166092    3.042001812
    5.350701403   -1.851840411   -1.851764756   -1.851997064
    5.410821643   -6.771666705   -6.771694763   -6.771918207
    5.470941884  -11.252740484  -11.252801357  -11.253012488
    5.531062124  -13.723601508  -13.723549081  -13.723723455
    5.591182365  -13.114997237  -13.114885059  -13.115049733
    5.651302605  -11.712450854  -11.712318154  -11.712489632
    5.711422846  -11.897758463  -11.897586804  -11.897747961
    5.771543086  -13.192576155  -13.192393666  -13.192479928
    5.831663327  -13.567095557  -13.566941639  -13.567003096
    5.891783567  -11.969819606  -11.969647946  -11.969712356
    5.951903808  -11.046565661  -11.046401744  -11.046449367
    6.012024048  -11.370331607  -11.370251461  -11.370305468
    6.072144289  -11.356876685  -11.356853022  -11.356893649
    6.132264529  -11.524881218  -11.524870516  -11.524884253
    6.192384770  -12.747718963  -12.747738057  -12.747727387
    6.252505010  -12.852443818  -12.852505884  -12.852475511
    6.312625251  -11.762328210  -11.762394444  -11.762375587
    6.372745491  -11.153391697  -11.153449520  -11.153446857
    6.432865731  -11.196932246  -11.196987146  -11.196961882
    6.492985972  -10.690524239  -10.690587563  -10.690550535
    6.553106212   -9.701934977   -9.701999601   -9.701971488
    6.613226453   -8.664251961   -8.664314314   -8.664298794
    6.673346693   -7.680565066   -7.680626906   -7.680623123
    6.733466934   -6.756852349   -6.756914966   -6.756922218
    6.793587174   -6.015847248   -6.015902492   -6.015922800
    6.853707415   -5.979580603   -5.979589128   -5.979634446
    6.913827655   -6.750423312   -6.750366584   -6.750431758
    6.973947896   -6.857652448   -6.857601093   -6.857648848
    7.034068136   -6.185790785   -6.185746884   -6.185796561
    7.094188377   -5.355259410   -5.355218376   -5.355284008
    7.154308617   -4.678392715   -4.678365884   -4.678449829
    7.214428858   -4.677311850   -4.677326727   -4.677406496
    7.274549098   -5.321354495   -5.321402719   -5.321429912
    7.334669339   -5.566457689   -5.566507561   -5.566509556
    7.394789579   -5.489732226   -5.489794566   -5.489815380
    7.454909820   -4.996406768   -4.996490505   -4.996529356
    7.515030060   -4.774018244   -4.774129526   -4.774113717
    7.575150301   -5.227235427   -5.227286638   -5.227154821
