# omega(eV)     n     kappa     alpha(1/m)
0.00000000     3.95320648     0.00000000     0.00000000
0.06012024     3.95368377     0.00159241     970.32685982
0.12024048     3.95511700     0.00318941     3886.91246142
0.18036072     3.95751031     0.00479566     8766.65229431
0.24048096     3.96087060     0.00641587     15637.95409882
0.30060120     3.96520764     0.00805490     24541.12744793
0.36072144     3.97053413     0.00971778     35528.94826779
0.42084168     3.97686583     0.01140974     48667.38576791
0.48096192     3.98422170     0.01313632     64036.55015632
0.54108216     3.99262410     0.01490338     81731.86553496
0.60120240     4.00209898     0.01671718     101865.50876032
0.66132265     4.01267615     0.01858447     124568.15942714
0.72144289     4.02438959     0.02051256     149991.06357103
0.78156313     4.03727782     0.02250945     178308.63908421
0.84168337     4.05138431     0.02458388     209721.41685035
0.90180361     4.06675800     0.02674558     244459.83230722
0.96192385     4.08345386     0.02900531     282788.52583860
1.02204409     4.10153363     0.03137516     325011.81119151
1.08216433     4.12106656     0.03386873     371480.16886995
1.14228457     4.14213048     0.03650143     422598.25341915
1.20240481     4.16481288     0.03929085     478834.74921914
1.26252505     4.18921229     0.04225719     540734.64159722
1.32264529     4.21544000     0.04542382     608934.53996732
1.38276553     4.24362199     0.04881795     684181.95721192
1.44288577     4.27390143     0.05247153     767360.09257921
1.50300601     4.30644167     0.05642239     859519.46882287
1.56312625     4.34142998     0.06071572     961919.51545102
1.62324649     4.37908220     0.06540605     1076083.41106968
1.68336673     4.41964864     0.07055989     1203871.56590438
1.74348697     4.46342170     0.07625934     1347582.19172585
1.80360721     4.51074563     0.08260714     1510090.76103371
1.86372746     4.56202946     0.08973382     1695048.26538378
1.92384770     4.61776433     0.09780814     1907169.15304683
1.98396794     4.67854694     0.10705269     2152661.66557697
2.04408818     4.74511220     0.11776799     2439890.89546262
2.10420842     4.81837930     0.13037102     2780438.73385583
2.16432866     4.89951808     0.14545971     3190872.61239633
2.22444890     4.99004596     0.16392624     3695850.84161384
2.28456914     5.09196902     0.18716846     4333916.04527106
2.34468938     5.20797431     0.21751355     5169102.73369802
2.40480962     5.34160877     0.25913180     6316041.07289776
2.46492986     5.49692724     0.32008196     7996672.09086523
2.52505010     5.67489305     0.41587773     10643370.70904679
2.58517034     5.86250617     0.56626317     14837167.70251222
2.64529058     6.03921186     0.78182132     20961599.49119066
2.70541082     6.16096095     1.08235026     29678679.61207218
2.76553106     6.15060208     1.40404774     39355364.54196039
2.82565130     6.05172123     1.64062064     46986193.40670026
2.88577154     5.96024553     1.79261925     52431650.26775400
2.94589178     5.90530010     1.91326780     57126297.49409376
3.00601202     5.87220480     2.05035334     62468768.94591273
3.06613226     5.79722911     2.18403335     67872473.36462162
3.12625251     5.73636007     2.24477330     71127913.15644622
3.18637274     5.74866968     2.30835954     74549297.85356753
3.24649299     5.77774227     2.41073160     79324411.06139047
3.30661323     5.81113788     2.52883222     84751411.68503682
3.36673347     5.85084224     2.65875926     90725898.50552776
3.42685371     5.93287430     2.80019575     97258480.90520862
3.48697395     6.04878096     3.02234153     106815866.32085362
3.54709419     6.15460032     3.35126591     120482823.03508854
3.60721443     6.16347263     3.79874584     138885121.37714756
3.66733467     6.02536578     4.28565141     159298216.20159304
3.72745491     5.73112424     4.77200035     180283670.09566063
3.78757515     5.24119553     5.17785851     198771887.92437437
