# omega (eV)     <Re(Eps)>     <Im(Eps)>
0.00000000    15.62784147    0.00000000
0.06012024    15.63161280    0.01259174
0.12024048    15.64294035    0.02522899
0.18036072    15.66186486    0.03795774
0.24048096    15.68845476    0.05082488
0.30060120    15.72280673    0.06387872
0.36072144    15.76504681    0.07716952
0.42084168    15.81533162    0.09075001
0.48096192    15.87385001    0.10467602
0.54108216    15.94082512    0.11900716
0.60120240    16.01651679    0.13380759
0.66132265    16.10122450    0.14914690
0.72144289    16.19529081    0.16510108
0.78156313    16.29910552    0.18175377
0.84168337    16.41311048    0.19919753
0.90180361    16.53780531    0.21753560
0.96192385    16.67375415    0.23688372
1.02204409    16.82159368    0.25737257
1.08216433    16.98204252    0.27915057
1.14228457    17.15591259    0.30238736
1.20240481    17.34412253    0.32727808
1.26252505    17.54771395    0.35404872
1.32264529    17.76787104    0.38296281
1.38276553    18.00594436    0.41432986
1.44288577    18.26348015    0.44851630
1.50300601    18.54225640    0.48595946
1.56312625    18.84432790    0.52718610
1.62324649    19.17208294    0.57283696
1.68336673    19.52831544    0.62369984
1.74348697    19.91631782    0.68075517
1.80360721    20.34000219    0.74523955
1.86372746    20.80406068    0.81873663
1.92384770    21.31418099    0.90330988
1.98396794    21.87734120    1.00170211
2.04408818    22.50222050    1.11764463
2.10420842    23.19978245    1.25635401
2.16432866    23.98411884    1.42536500
2.22444890    24.87368689    1.63599894
2.28456914    25.89311646    1.90611198
2.34468938    27.07568429    2.26560999
2.40480962    28.46563495    2.76836144
2.46492986    30.11375662    3.51893448
2.52505010    32.03145683    4.72012327
2.58517034    34.04832461    6.63944265
2.64529058    35.86083527    9.44316914
2.70541082    36.78595777    13.33663543
2.76553106    35.85855592    17.27147786
2.82565130    33.93169381    19.85715748
2.88577154    32.31104296    21.36890173
2.94589178    31.21197562    22.59684111
3.00601202    30.27884045    24.08018942
3.06613226    28.83786373    25.32268345
3.12625251    27.86681968    25.75365585
3.18637274    27.71867933    26.53999303
3.24649299    27.57067890    27.85717180
3.30661323    27.37433110    29.39078544
3.36673347    27.16335404    31.11196198
3.42685371    27.35790129    33.22641877
3.48697395    27.45320280    36.56296381
3.54709419    26.64812185    41.25140443
3.60721443    23.55792492    46.82693206
3.66733467    17.93822475    51.64523467
3.72745491    10.07379774    54.69785371
3.78757515    0.65991182    54.27633773
3.84769539    -7.11286022    49.33264271
3.90781563    -10.83764487    43.41641475
3.96793587    -12.89571098    38.18669462
4.02805611    -12.80791037    33.23234016
4.08817635    -11.64946901    30.68616507
4.14829659    -11.68355083    29.22177599
4.20841683    -12.21904559    27.21138650
4.26853707    -12.03318606    24.62303270
4.32865732    -10.49380350    22.73740678
4.38877755    -8.91586321    22.64279044
4.44889780    -8.68891505    23.64757530
4.50901804    -10.24471687    24.24418743
4.56913828    -12.28917734    23.07875433
4.62925852    -13.23858930    20.82756182
4.68937876    -12.96506389    18.80012363
4.74949900    -12.27127033    17.48611297
4.80961924    -11.52671542    16.85504683
4.86973948    -11.32776176    16.76198386
4.92985972    -11.74874897    16.40459807
4.98997996    -12.23846728    15.61700718
5.05010020    -12.58104490    14.41699468
5.11022044    -12.28853274    12.97888631
5.17034068    -11.43857975    12.06786309
5.23046092    -10.66058740    11.78297118
5.29058116    -10.27078422    11.91305411
5.35070140    -10.54909842    12.04705454
5.41082164    -11.17383714    11.54013653
5.47094188    -11.41471716    10.47853177
5.53106212    -11.05145941    9.45074222
5.59118236    -10.44301104    8.83509769
5.65130260    -9.91741417    8.55330842
5.71142285    -9.60073073    8.40686315
5.77154309    -9.37772669    8.25329684
5.83166333    -9.29475424    8.23467901
5.89178357    -9.56489453    8.00843693
5.95190381    -9.65788782    7.36270255
6.01202405    -9.37445476    6.74673608
6.07214429    -8.99003863    6.40568027
6.13226453    -8.72800351    6.17603531
6.19238477    -8.49538170    5.93143069
6.25250501    -8.22424245    5.74870942
6.31262525    -8.06549666    5.69321873
6.37274549    -8.09171605    5.51982601
6.43286573    -8.01643986    5.16272814
6.49298597    -7.76251180    4.84498570
6.55310621    -7.50138518    4.72881522
6.61322645    -7.41583794    4.60841432
6.67334669    -7.31450595    4.35722009
6.73346693    -7.07147516    4.11684339
6.79358717    -6.81427210    4.03840325
6.85370741    -6.70342289    4.01244153
6.91382766    -6.64707373    3.88342546
6.97394790    -6.54294814    3.72695497
7.03406814    -6.42145772    3.58032667
7.09418838    -6.30228706    3.45346394
7.15430862    -6.19225810    3.31319253
7.21442886    -6.05899166    3.16933386
7.27454910    -5.89291802    3.05347640
7.33466934    -5.75431857    3.00523181
7.39478958    -5.69127092    2.94515801
7.45490982    -5.62707934    2.81822020
7.51503006    -5.51501329    2.69202985
7.57515030    -5.40244908    2.58924181
7.63527054    -5.28333494    2.49015763
7.69539078    -5.15771835    2.41368469
7.75551102    -5.05174781    2.36073875
7.81563126    -4.97015443    2.31686387
7.87575150    -4.93637581    2.25475577
7.93587174    -4.89754267    2.12713756
7.99599198    -4.79799087    1.96849098
8.05611222    -4.62539215    1.84631250
8.11623246    -4.44148110    1.81466283
8.17635270    -4.32683585    1.83714846
8.23647295    -4.26690464    1.84512983
8.29659319    -4.25015132    1.83216833
8.35671343    -4.25222921    1.75479034
8.41683367    -4.20849524    1.62681632
8.47695391    -4.10752542    1.51147305
8.53707415    -3.98547191    1.42054708
8.59719439    -3.83560950    1.36828317
8.65731463    -3.70805394    1.38486390
8.71743487    -3.65314752    1.41581779
8.77755511    -3.64495809    1.40611553
8.83767535    -3.63870343    1.34432584
8.89779559    -3.59945517    1.24491486
8.95791583    -3.51096671    1.15217089
9.01803607    -3.40516607    1.09018645
9.07815631    -3.29693435    1.05357444
9.13827655    -3.19817527    1.04253598
9.19839679    -3.12170669    1.04833352
9.25851703    -3.07561651    1.05626342
9.31863728    -3.05519691    1.04105687
9.37875752    -3.03164287    0.99340783
9.43887776    -2.98487302    0.92790869
9.49899800    -2.90626708    0.86961511
9.55911824    -2.82071257    0.84149342
9.61923848    -2.74783152    0.82677898
9.67935872    -2.68286227    0.81803937
9.73947896    -2.62911956    0.81534901
9.79959920    -2.58882725    0.80912252
9.85971944    -2.55939048    0.79541083
9.91983968    -2.53076671    0.75938596
9.97995992    -2.47954736    0.71736326
10.04008016    -2.41781669    0.68999626
10.10020040    -2.35883312    0.67260600
10.16032064    -2.30359433    0.66450564
10.22044088    -2.26010236    0.65694603
10.28056112    -2.21573709    0.64725212
10.34068136    -2.17722633    0.64262149
10.40080160    -2.14759597    0.63645163
10.46092184    -2.12729325    0.62010250
10.52104208    -2.10063598    0.58689787
10.58116232    -2.05469444    0.55073169
10.64128256    -1.99543040    0.53128970
10.70140281    -1.94316991    0.53191877
10.76152305    -1.91107358    0.53792758
10.82164329    -1.89199520    0.53137775
10.88176353    -1.86919059    0.51213375
10.94188377    -1.84169346    0.49082849
11.00200401    -1.80956617    0.46677541
11.06212425    -1.77191893    0.44359797
11.12224449    -1.72959501    0.42562867
11.18236473    -1.68747885    0.41162513
11.24248497    -1.64306619    0.40518748
11.30260521    -1.60818437    0.40531197
11.36272545    -1.57828242    0.40279559
11.42284569    -1.55370308    0.40133263
11.48296593    -1.53606597    0.39146833
11.54308617    -1.51256722    0.37223652
11.60320641    -1.47894356    0.35456848
11.66332665    -1.44487901    0.34569544
11.72344689    -1.41413884    0.33606370
11.78356713    -1.37947278    0.32992567
11.84368738    -1.35025507    0.33202389
11.90380761    -1.33212706    0.33166221
