# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.060120240    0.012591740    0.012591735    0.012591740
    0.120240481    0.025228995    0.025228986    0.025228997
    0.180360721    0.037957743    0.037957728    0.037957745
    0.240480962    0.050824882    0.050824863    0.050824885
    0.300601202    0.063878730    0.063878706    0.063878734
    0.360721443    0.077169532    0.077169503    0.077169537
    0.420841683    0.090750021    0.090749987    0.090750026
    0.480961924    0.104676030    0.104675992    0.104676036
    0.541082164    0.119007172    0.119007129    0.119007179
    0.601202405    0.133807606    0.133807558    0.133807613
    0.661322645    0.149146912    0.149146859    0.149146920
    0.721442886    0.165101100    0.165101042    0.165101109
    0.781563126    0.181753783    0.181753720    0.181753793
    0.841683367    0.199197553    0.199197486    0.199197565
    0.901803607    0.217535618    0.217535545    0.217535630
    0.961923848    0.236883742    0.236883664    0.236883755
    1.022044088    0.257372596    0.257372513    0.257372610
    1.082164329    0.279150595    0.279150507    0.279150610
    1.142284569    0.302387381    0.302387288    0.302387397
    1.202404810    0.327278103    0.327278004    0.327278119
    1.262525050    0.354048748    0.354048644    0.354048765
    1.322645291    0.382962836    0.382962726    0.382962854
    1.382765531    0.414329896    0.414329781    0.414329916
    1.442885772    0.448516332    0.448516212    0.448516353
    1.503006012    0.485959494    0.485959367    0.485959515
    1.563126253    0.527186141    0.527186009    0.527186164
    1.623246493    0.572836996    0.572836858    0.572837020
    1.683366733    0.623699881    0.623699737    0.623699906
    1.743486974    0.680755209    0.680755058    0.680755235
    1.803607214    0.745239593    0.745239436    0.745239621
    1.863727455    0.818736676    0.818736512    0.818736705
    1.923847695    0.903309930    0.903309759    0.903309961
    1.983967936    1.001702162    1.001701984    1.001702195
    2.044088176    1.117644678    1.117644492    1.117644712
    2.104208417    1.256354062    1.256353867    1.256354098
    2.164328657    1.425365060    1.425364854    1.425365097
    2.224448898    1.635998999    1.635998781    1.635999038
    2.284569138    1.906112043    1.906111809    1.906112083
    2.344689379    2.265610068    2.265609809    2.265610107
    2.404809619    2.768361530    2.768361229    2.768361564
    2.464929860    3.518934601    3.518934223    3.518934621
    2.525050100    4.720123440    4.720122933    4.720123432
    2.585170341    6.639442814    6.639442303    6.639442833
    2.645290581    9.443169187    9.443168886    9.443169337
    2.705410822   13.336635498   13.336635052   13.336635730
    2.765531062   17.271477917   17.271477497   17.271478161
    2.825651303   19.857157486   19.857157209   19.857157755
    2.885771543   21.368901689   21.368901365   21.368902137
    2.945891784   22.596841034   22.596840715   22.596841592
    3.006012024   24.080189332   24.080189094   24.080189824
    3.066132265   25.322683338   25.322683250   25.322683765
    3.126252505   25.753655673   25.753655817   25.753656074
    3.186372745   26.539992776   26.539993092   26.539993217
    3.246492986   27.857171574   27.857171830   27.857172009
    3.306613226   29.390785254   29.390785465   29.390785610
    3.366733467   31.111961817   31.111962096   31.111962037
    3.426853707   33.226418665   33.226418851   33.226418801
    3.486973948   36.562963794   36.562963716   36.562963915
    3.547094188   41.251404519   41.251404199   41.251404559
    3.607214429   46.826932156   46.826931803   46.826932227
    3.667334669   51.645234761   51.645234323   51.645234921
    3.727454910   54.697853800   54.697853287   54.697854043
    3.787575150   54.276337610   54.276337418   54.276338149
    3.847695391   49.332642450   49.332642478   49.332643187
    3.907815631   43.416414555   43.416414533   43.416415156
    3.967935872   38.186694509   38.186694443   38.186694902
    4.028056112   33.232340078   33.232340120   33.232340287
    4.088176353   30.686165108   30.686164994   30.686165113
    4.148296593   29.221776243   29.221775729   29.221775988
    4.208416834   27.211386921   27.211386127   27.211386438
    4.268537074   24.623033084   24.623032278   24.623032724
    4.328657315   22.737407056   22.737406376   22.737406898
    4.388777555   22.642790758   22.642790050   22.642790508
    4.448897796   23.647575683   23.647574778   23.647575439
    4.509018036   24.244187640   24.244186752   24.244187884
    4.569138277   23.078754385   23.078753659   23.078754933
    4.629258517   20.827561793   20.827561235   20.827562434
    4.689378758   18.800123561   18.800123116   18.800124216
    4.749498998   17.486112879   17.486112525   17.486113508
    4.809619238   16.855046869   16.855046266   16.855047353
    4.869739479   16.761984128   16.761983105   16.761984356
    4.929859719   16.404598384   16.404597294   16.404598542
    4.989979960   15.617007527   15.617006399   15.617007609
    5.050100200   14.416994970   14.416993919   14.416995157
    5.110220441   12.978886328   12.978885694   12.978886909
    5.170340681   12.067862695   12.067862584   12.067863978
    5.230460922   11.782970482   11.782970766   11.782972280
    5.290581162   11.913053601   11.913053908   11.913054829
    5.350701403   12.047054337   12.047054608   12.047054681
    5.410821643   11.540136621   11.540136601   11.540136355
    5.470941884   10.478532146   10.478531775   10.478531396
    5.531062124    9.450742774    9.450742157    9.450741736
